ประทับเวลา,"ส่วนที่ 1: สถานการณ์ทริปไป-กลับวันเดียว (Day Trip)

1. สมมติว่าคุณมีเวลาเที่ยวแค่ไป-กลับ คุณตั้งงบประมาณไว้ที่เท่าไหร่? (ต่อ 1 ท่าน)",2. คุณมีเวลาสำหรับการท่องเที่ยวในทริปนี้กี่ชั่วโมง?,3. สไตล์หรืออารมณ์ของทริป 1 วันนี้ ที่คุณต้องการคือแบบไหน? (Trip Mood),4. หมวดหมู่สถานที่ท่องเที่ยวที่คุณสนใจที่สุดในทริปนี้คืออะไร?,5. จากงบประมาณและสไตล์ที่เลือก คุณจะเลือกไปสถานที่ใดในสุราษฎร์ธานี? (สำหรับไป-กลับ),1. สำหรับทริปค้างคืนนี้ คุณตั้งงบประมาณไว้ที่เท่าไหร่? (ต่อ 1 ท่าน),2. คุณมีเวลาสำหรับการท่องเที่ยวค้างคืนนี้กี่ชั่วโมง?,3. สไตล์หรืออารมณ์ของทริปค้างคืนนี้ ที่คุณต้องการคือแบบไหน? (Trip Mood),4. หมวดหมู่สถานที่ท่องเที่ยวที่คุณสนใจที่สุดในทริปนี้คืออะไร?,5. จากงบและสไตล์ที่เลือก คุณจะเลือกไปสถานที่ใดในสุราษฎร์ธานี? (สำหรับค้างคืน)
"19/8/2026, 22:10:10",1500,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),วัดและวัฒนธรรม,วัดพระธาตุนครศรีธรรมราช,10000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก
"19/8/2026, 22:13:46",3000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,ป่าต้นน้ำ,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เขื่อนรัชชประภา
"19/8/2026, 22:13:53",2000,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),"คาเฟ่, ร้านอาหาร","โชคชัยติ่มซำ , ก๋วยเตี๋ยวเกี๊ยวปลา ,บ้านไร่มีสุข",5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก
"19/8/2026, 22:15:15",3500,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",วัดพระบรมธาตุไชยา ฯลฯ // ป่าต้นน้ำ,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)","ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหารพื้นบ้าน",เขื่อนรัชชประภา
"19/8/2026, 22:15:42",2000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,ป่าต้นน้ำ,5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขืีอน
"19/8/2026, 22:19:04",20000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, วิถีชีวิตชุมชน",ป่าต้นน้ำ เกาะพะงัน ,20000,120,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เขื่อนรัชชประภา เกาะพะงัน
"19/8/2026, 22:21:45",5000,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร","ไป คาเฟ่Coffee Robot ,เขื่อนรัชชประภา,สะพานแขวนเขาพัง,",12000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหารพื้นบ้าน",เกาสมุย  3วัน 2 คืน วันกลับ เเวะคาเฟ่ Robot[โกโก้ปั่นเข้มจ้นมาก]
"19/8/2026, 22:24:57",5000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",ป่าต้นน้ำ บ้านน้ำราด,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"19/8/2026, 22:25:28",1500,8,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เดินป่าเขาสก,3000,48,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เขื่อนรัชชประภา
"19/8/2026, 22:26:06",2000,24,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, ร้านอาหาร",ลำภูคาเฟ่,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เกาะสมุย
"19/8/2026, 22:28:13",5000,15,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",เกาะพงัน (ฟูมูนปาร์ตี้),10000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เกาะพงัน (ฟูมูนปาร์ตี้)
"19/8/2026, 22:29:07",15000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,บ้านน้ำราด,10000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"19/8/2026, 22:31:39",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",ป่าต้นน้ำ,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วิถีชีวิตชุมชน, คาเฟ่",เกาะพะงัน
"19/8/2026, 22:32:25",2000,8,"⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",เขาสก,5000,72,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),"ทะเลและหมู่เกาะ, คาเฟ่, ร้านอาหารพื้นบ้าน",เกาะสมุย
"19/8/2026, 22:35:23",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เขาสก,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม",เชาสก
"19/8/2026, 22:41:51",1000,6,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,บ้านน้ำราด,3000,2,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เกาะสมุย
"19/8/2026, 22:44:22",1000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ธรรมชาติและภูเขา, วิถีชีวิตชุมชน",โรงเหล้า 99
"19/8/2026, 22:49:12",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,นาสาร,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เกาะสมุย
"19/8/2026, 22:50:27",1000,6,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, วัดและวัฒนธรรม, คาเฟ่",ป่าต้นน้ำบ้านน้ำราด,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, วัดและวัฒนธรรม, คาเฟ่",เกาะพงัน
"19/8/2026, 22:52:38",1000,12,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ทะเลและหมู่เกาะ,เอทีวี เวียงสระ,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"19/8/2026, 22:53:09",1500,6,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,คาเฟ่,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","วัดและวัฒนธรรม, คาเฟ่",เขื่อน
"19/8/2026, 22:55:38",1000,6,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก,2000,48,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,เขาสก
"19/8/2026, 23:07:17",1000,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, คาเฟ่",บ้านน้ำราด,5000,3,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"19/8/2026, 23:09:48",2000,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",ทะเล,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เกาะ
"19/8/2026, 23:10:18",2000,10,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),"คาเฟ่, ร้านอาหาร",ร้านเกาะลำพู2,3500,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, คาเฟ่",เขื่อนรัชชประภา
"20/8/2026, 6:00:54",1500,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ธรรมชาติและภูเขา, ร้านอาหาร",ป่าต้นน้ำบ้านน้ำราด,5000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหารพื้นบ้าน",เกาะสมุย
"20/8/2026, 7:32:42",1500,8,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,ป่าต้นน้ำ,3000,48,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,ป่าอุทยาน
"20/8/2026, 7:34:30",1000,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,ในบ้านดอน,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,ทะเล
"20/8/2026, 7:35:33",500,6,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,เจ้าชบาคาเฟ่,5000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,พัทลุง
"20/8/2026, 7:38:51",1500,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),ธรรมชาติและภูเขา,เกาะสมุย,5000,72,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ทะเลและหมู่เกาะ,เขื่อนรัชประภา
"20/8/2026, 7:39:03",1000,24,"⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",นํ้าตกที่ไหนซักที่,5000,2,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, วิถีชีวิตชุมชน, ร้านอาหารพื้นบ้าน",เขื่อน
"20/8/2026, 7:39:22",500,4,"⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)",ทะเลและหมู่เกาะ,เขาสก,3000,2,"⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)",ทะเลและหมู่เกาะ,เกาะสมุย
"20/8/2026, 7:39:40",1000,12,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ทะเลและหมู่เกาะ,ป่าต้นน้ำ บ้นน้ำราด,5000,72,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่",เกาะพะงัน
"20/8/2026, 7:53:03",1500,8,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ธรรมชาติและภูเขา,ป่าต้นน้ำ,5000,72,⛰️ เน้นลุยๆ / ผจญภัย (Adventure),ทะเลและหมู่เกาะ,เกาะพะงัน
"20/8/2026, 8:21:27",1000,3,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)",วิถีชีวิตชุมชน,ริมน้ำ สุราษฎร์,2000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"20/8/2026, 8:53:35",10000,12,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหาร",Echo Coffee Roastery,10000,72,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), ⛩️ เน้นเรียนรู้วัฒนธรรม / ประวัติศาสตร์ (Culture), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, วัดและวัฒนธรรม, วิถีชีวิตชุมชน, คาเฟ่, ร้านอาหารพื้นบ้าน",เกาะสมุย
"20/8/2026, 9:23:17",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",คาเฟ่,10000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),คาเฟ่,เกาะสมุย
"20/8/2026, 9:51:35",500,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,คาเฟ่,3000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ธรรมชาติและภูเขา, คาเฟ่",เกาะสมุย
"20/8/2026, 10:09:17",3000,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,ป่าต้นน้ำ,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, คาเฟ่",นึกไม่ออก
"20/8/2026, 10:19:34",3000,3,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",เขาสก,3000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), 📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social)","ธรรมชาติและภูเขา, วิถีชีวิตชุมชน, คาเฟ่",เขาสก
"20/8/2026, 11:07:20",3000,8,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,คาเฟ่,10000,72,📸 สายคาเฟ่ / ถ่ายรูป / เช็คอิน (Social),คาเฟ่,เกาะสมุย
"20/8/2026, 11:16:58",1500,12,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา, คาเฟ่, ร้านอาหาร",ลำภูคาเฟ่,4000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, คาเฟ่",เกาะพะงัน
"20/8/2026, 11:41:54",1500,8,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะแรต,5000,1,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะสมุย
"20/8/2026, 15:24:13",3000,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ธรรมชาติและภูเขา,เขาสก,10000,72,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เกาะพงัน
"20/8/2026, 17:03:05",2000,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,ทะเล,5000,48,🌿 เน้นพักผ่อน / ชิลๆ (Chill),ทะเลและหมู่เกาะ,เกาะสมุย
"20/8/2026, 17:06:06",700,8,🌿 เน้นพักผ่อน / ชิลๆ (Chill),"ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",คลองน้ำใส,5000,48,"🌿 เน้นพักผ่อน / ชิลๆ (Chill), ⛰️ เน้นลุยๆ / ผจญภัย (Adventure)","ทะเลและหมู่เกาะ, ธรรมชาติและภูเขา",เขื่อนรัชชประภา
